"subj","condition","nAlt","val1","val2","val3","upVal","leftVal","rightVal","rt","chosenPos","correctPos","conf","rt2","corr","targetPos","distractorPos","dudPos","chosenItem"
"sub01",0.7,3,100,90,63,90,100,63,0.671549799852073,"up","left",3,0.0215195994824171,0,"left","up","right","distractor"
"sub01",0.85,3,100,90,76,76,90,100,0.554524499922991,"left","right",4,0.00379129964858294,0,"right","left","up","distractor"
"sub01",0.85,3,100,90,76,100,76,90,0.472416799515486,"left","up",4,0.07514419965446,0,"up","right","left","dud"
"sub01",0.3,3,100,90,27,27,90,100,0.532713599968702,"left","right",3,0.173762899823487,0,"right","left","up","distractor"
"sub01",0.5,3,100,90,45,45,90,100,0.448280199430883,"left","right",3,0.200134899932891,0,"right","left","up","distractor"
"sub01",0.5,3,100,90,45,100,90,45,0.612577799707651,"up","up",2,0.219690699595958,1,"up","left","right","target"
"sub01",0,2,100,90,0,0,100,90,0.49429959943518,"left","left",3,0.0651520993560553,1,"left","right","up","target"
"sub01",0.95,3,100,90,86,100,86,90,0.653069799765944,"up","up",2,0.205819799564779,1,"up","right","left","target"
"sub01",0.95,3,100,90,86,86,100,90,0.491328099742532,"left","left",3,0.178678099997342,1,"left","right","up","target"
"sub01",0,2,100,90,0,100,90,0,0.696279599796981,"left","up",2,0.0855574999004602,0,"up","left","right","distractor"
"sub01",0.95,3,100,90,86,100,90,86,0.413812799844891,"up","up",3,0.00101969949901104,1,"up","left","right","target"
"sub01",0.3,3,100,90,27,90,27,100,0.407342499587685,"up","right",3,0.432920299470425,0,"right","up","left","distractor"
"sub01",0,2,100,90,0,90,0,100,0.433937499765307,"up","right",2,0.210242399480194,0,"right","up","left","distractor"
"sub01",0.5,3,100,90,45,90,45,100,0.410406799521297,"up","right",1,0.18556179990992,0,"right","up","left","distractor"
"sub01",0.5,3,100,90,45,90,100,45,0.458997799549252,"up","left",1,0.100862399674952,0,"left","up","right","distractor"
"sub01",0.3,3,100,90,27,27,100,90,0.457027399912477,"left","left",4,0.0468876999802887,1,"left","right","up","target"
"sub01",0.7,3,100,90,63,100,63,90,0.554875099565834,"up","up",4,0.242849399801344,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,100,90,63,0.563317799940705,"up","up",2,0.147588899824768,1,"up","left","right","target"
"sub01",0,2,100,90,0,0,90,100,0.696121799759567,"left","right",2,0.285934099461883,0,"right","left","up","distractor"
"sub01",0.85,3,100,90,76,100,90,76,0.505503099411726,"up","up",4,0.0336903999559581,1,"up","left","right","target"
"sub01",0,2,100,90,0,100,0,90,0.539953899569809,"up","up",3,0.0671402998268604,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,90,63,100,0.552047499455512,"up","right",2,0.0342667996883392,0,"right","up","left","distractor"
"sub01",0.85,3,100,90,76,100,76,90,0.437501299660653,"up","up",2,0.0878966995514929,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,90,100,63,0.56082099955529,"left","left",4,0.0597271993756294,1,"left","up","right","target"
"sub01",0.5,3,100,90,45,45,100,90,0.46165069937706,"left","left",4,0.374178799800575,1,"left","right","up","target"
"sub01",0.3,3,100,90,27,90,100,27,0.468307699542493,"left","left",4,0.119516499806195,1,"left","up","right","target"
"sub01",0,2,100,90,0,100,0,90,0.433152299840003,"up","up",2,0.130311699584126,1,"up","right","left","target"
"sub01",0.95,3,100,90,86,90,86,100,0.489654899574816,"up","right",4,0.576161099597812,0,"right","up","left","distractor"
"sub01",0.95,3,100,90,86,86,100,90,0.640186799690127,"up","left",2,0.0241318000480533,0,"left","right","up","dud"
