"trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event","participant","Condition","UVal","LVal","RVal","item"
5,295.096604900085,295.279931600089,12.8248550891876,-9.13646864891052,0.0428728076934814,0.196736728477478,0.0706424713134766,-0.0906848907470703,0.183326700003818,"fixation","sub10",0,90,0,100,"right"
5,295.346592999995,295.663241000031,1.13806876540184,9.38537335395813,0.0894203428924084,0.0404454647541046,0.0697182714939117,0.153444766998291,0.316648000036366,"fixation","sub10",0,90,0,100,"up"
5,295.746573899989,296.004895700142,11.7890014648438,-8.25821924209595,0.045234049987793,0.128017508125305,-0.0488152503967285,-0.128671526908875,0.258321800152771,"fixation","sub10",0,90,0,100,"right"
5,296.504894000012,296.638216700056,4.42020058631897,5.38255894184113,0.0318688176870346,0.235209424781799,0.0479538440704346,-0.236507177352905,0.133322700043209,"fixation","sub10",0,90,0,100,"noFix"
5,296.64655610011,296.713227999979,4.37213778495789,4.98221063613892,0.0224381644248962,0.244770335197449,0.051483154296875,0.237567067146301,0.0666718998691067,"fixation","sub10",0,90,0,100,"noFix"
5,296.754894700018,297.029838399962,-0.74604020267725,10.5899305343628,0.0589352975830436,0.159542920589447,-0.0880265459418297,0.134973287582397,0.274943699943833,"fixation","sub10",0,90,0,100,"up"
6,300.304839399992,300.671557500027,-0.0113646797835827,-2.19647163152695,0.0399912547901273,0.048118971991539,0.0437700431793928,-0.177513927221298,0.366718100034632,"fixation","sub10",0.85,100,90,76,"noFix"
6,300.713234000141,300.829901100136,-0.27792439609766,6.88512170314789,0.0574484638720751,0.136861385607719,0.0347131453454494,0.159541726112366,0.116667099995539,"fixation","sub10",0.85,100,90,76,"up"
6,300.896565399948,301.013233500067,-11.3050606250763,-8.06206202507019,0.0281238803386688,0.0932024397611618,0.0522677898406982,-0.144997119903564,0.116668100119568,"fixation","sub10",0.85,100,90,76,"left"
6,301.0798811001,301.171505600098,10.4714179039001,-6.98354125022888,0.028321475315094,0.0197001131057739,0.119506359100342,0.0860793590545654,0.0916244999971241,"fixation","sub10",0.85,100,90,76,"right"
6,301.229895099998,301.496535200044,0.535163965076208,8.3352530002594,0.0844406412966549,0.132297436523438,-0.134268968366086,-0.122453451156616,0.266640100046061,"fixation","sub10",0.85,100,90,76,"up"
6,301.563219200005,301.746553800069,12.3162875175476,-6.97060632705688,0.0454712346553802,0.0767606996297836,-0.0843009948730469,-0.130918025970459,0.183334600063972,"fixation","sub10",0.85,100,90,76,"right"
6,301.821543900063,301.871543299989,-10.9100198745728,-6.31115198135376,0.0626931037902832,0.0533036308765411,-0.101684808731079,0.0912925004959106,0.0499993999255821,"fixation","sub10",0.85,100,90,76,"left"
7,305.071569100139,305.07991430012,0.499014049768448,-1.16936156153679,0,0,-0.00346392393112183,1.02582170069218,0.00834519998170435,"blink","sub10",0.7,63,100,90,"noFix"
7,305.304904900026,305.463233900024,0.0816587805747986,2.67814874649048,0.053256518702209,0.23253994846344,0.0829714057035744,-0.406487762928009,0.158328999998048,"fixation","sub10",0.7,63,100,90,"noFix"
7,305.496568400064,305.604892999982,-0.961544990539551,8.84358167648315,0.0445237331628799,0.122256501102447,0.0726026892662048,0.24877667427063,0.108324599917978,"fixation","sub10",0.7,63,100,90,"up"
7,305.654842999997,305.813222800032,-11.1660027503967,-5.36185121536255,0.0568437269210815,0.140103321790695,-0.0682871341705322,-0.193037867546082,0.158379800035618,"fixation","sub10",0.7,63,100,90,"left"
7,305.879868500051,306.013213600032,12.4101395606995,-6.09940075874329,0.057931029510498,0.149350342512131,0.077587366104126,0.165998458862305,0.133345099980943,"fixation","sub10",0.7,63,100,90,"right"
7,306.071546299965,306.138161200099,1.263163626194,8.51623630523682,0.0206646699786186,0.173880044460297,0.0527027994394302,0.157326936721802,0.0666149001335725,"fixation","sub10",0.7,63,100,90,"up"
